CR_Pho135,CR SF 1st Floor/Photoshop VC Self Service (12),Photoshop,San Francisco,TransAmerica,1,12,415-555-1212,51212,415-555-2121,52121,Video Only,Self Service,
CR_Pre399,CR SF 1st Floor/Premiere (6),Premiere,San Francisco,TransAmerica,1,6,415-555-1213,51212,415-555-2122,52121,Audio Only,Self Service,
CR_Ill446,CR SF 1st Floor/Illustrator (8),Illustrator,San Francisco,TransAmerica,1,8,415-555-1214,51212,415-555-2123,52121,Audio Only,Self Service,
CR_Dre144,CR SF 1st Floor/Dreamweaver VC Self Service (12),Dreamweaver,San Francisco,TransAmerica,1,12,415-555-1215,51212,415-555-2124,52121,Video Only,Self Service,
CR_Fir400,CR SF 1st Floor/Fireworks (90),Fireworks,San Francisco,TransAmerica,1,90,415-555-1216,51212,415-555-2125,52121,Audio Only,Self Service,
CR_Fla145,CR SF 1st Floor/Flash VC Room VC Self Service (6),Flash,San Francisco,TransAmerica,1,6,415-555-1217,51212,415-555-2126,52121,Video Only,Self Service,
CR_Cap401,CR SF 2nd Floor/Captivate (18),Captivate,San Francisco,TransAmerica,2,18,415-555-1218,51212,415-555-2127,52121,Audio Only,Self Service,
CR_Acr402,CR SF 2nd Floor/Acrobat (12),Acrobat,San Francisco,TransAmerica,2,12,415-555-1219,51212,415-555-2128,52121,Audio Only,Self Service,
CR_Con389,CR SF 2nd Floor/Connect (6),Connect,San Francisco,TransAmerica,2,6,415-555-1220,51212,415-555-2129,52121,CPR,Managed,
CR_Con148,CR SF 2st Floor/Contribute VC CPR On-Time (100),Contribute,San Francisco,TransAmerica,2,100,415-555-1221,51212,415-555-2130,52121,CPR,On Time,
CR_Ind149,CR SF 2nd Floor/InDesign (8),InDesign,San Francisco,TransAmerica,2,8,415-555-1222,51212,415-555-2131,52121,Audio Only,Self Service,
CR_Onl001,CR SF 3rd Floor/OnLocation Restricted (12),OnLocation,San Francisco,TransAmerica,3,12,415-555-1223,51212,415-555-2132,52121,Audio Only,Self Service,Restricted
CR_Bri151,CR SF 3rd Floor/Bridge (8),Bridge,San Francisco,TransAmerica,3,8,415-555-1224,51212,415-555-2133,52121,Audio Only,Self Service,
CR_Che152,CR SF 3rd Floor/Chenab (6),Soundbooth,San Francisco,TransAmerica,3,6,415-555-1225,51212,415-555-2134,52121,Audio Only,Self Service,
CR_Col153,CR SF 3rd Floor/Colorado (6) ,Lightroom,San Francisco,TransAmerica,3,6,415-555-1226,51212,415-555-2135,52121,Audio Only,Self Service,
CR_Dol154,CR LAX 7th Floor/Elements (8),Elements,Los Angeles,US Bank Tower,7,8,310-555-1212,51212,310-555-2121,52121,Audio Only,Self Service,
CR_Val025,CR LAX 7th Floor/Encore (130),Encore,Los Angeles,US Bank Tower,7,130,310-555-1213,51212,310-555-2122,52121,Presentation,Managed,
CR_Dam155,CR LAX 7th Floor/After Effects (12),After Effects,Los Angeles,US Bank Tower,7,12,310-555-1214,51212,310-555-2123,52121,Audio Only,Self Service,
CR_Bon389,CR LAX 7th Floor/PostScript VC CPR Managed (6),PostScript,Los Angeles,US Bank Tower,7,6,310-555-1215,51212,310-555-2124,52121,CPR,Managed,
CR_Elb156,CR LAX 7th Floor/AIR Living Room (8),AIR Living Room,Los Angeles,US Bank Tower,7,8,310-555-1216,51212,310-555-2125,52121,Audio Only,Self Service,
CR_Tow412,CR LAX 7th Floor/Flex Lounge (12),Flex Lounge,Los Angeles,US Bank Tower,7,12,310-555-1217,51212,310-555-2126,52121,Audio Only,Self Service,
CR_Col555,CR LAX 10th Floor/ColdFusion (40),ColdFusion,Los Angeles,US Bank Tower,10,40,310-555-1218,51212,310-555-2127,52121,Audio Only,Managed,
CR_Eri157,CR LAX 10th Floor/Director (20),Director,Los Angeles,US Bank Tower,10,20,310-555-1219,51212,310-555-2128,52121,Audio Only,Self Service,
CR_Cha999,CR LAX 10th Floor/RoboHelp VC CPR Managed (90),RoboHelp,Los Angeles,US Bank Tower,10,90,310-555-1220,51212,310-555-2129,52121,CPR,Managed,
CR_Fai158,CR LAX 10th Floor/FrameMaker (8),FrameMaker,Los Angeles,US Bank Tower,10,8,310-555-1221,51212,310-555-2130,52121,Audio Only,Self Service,
CR_Tra414,CR LAX 10th Floor/LiveCycle ES (6),LiveCycle ES,Los Angeles,US Bank Tower,10,6,310-555-1222,51212,310-555-2131,52121,Audio Only,Self Service,
CR_Fea159,CR LAX 10th Floor/Digital Editions (8),Digital Editions,Los Angeles,US Bank Tower,10,8,310-555-1223,51212,310-555-2132,52121,Audio Only,Self Service,
CR_Uni415,CR ORD 23rd Floor/Shockwave (14),Shockwave,Chicago,John Hancock,23,14,312-555-1212,51212,312-555-2121,52121,Audio Only,Self Service,
CR_Gar160,CR ORD 23rd Floor/JRun (8),JRun,Chicago,John Hancock,23,8,312-555-1213,51212,312-555-2122,52121,Audio Only,Self Service,
CR_SD617,CR ORD 23rd Floor/Audition Restricted(4),Audition,Chicago,John Hancock,23,4,312-555-1214,51212,312-555-2123,52121,Small,Self Service,Restricted
CR_Geo161,CR ORD 23rd Floor/GoLive (8),GoLive,Chicago,John Hancock,23,8,312-555-1215,51212,312-555-2124,52121,Audio Only,Self Service,
CR_Sd618,CR ORD 22nd Floor/FreeHandRestricted (4),FreeHand,Chicago,John Hancock,22,4,312-555-1216,51212,312-555-2125,52121,Small,Self Service,Restricted
CR_Cor162,CR ORD 22nd Floor/Open Type (12),Open Type,Chicago,John Hancock,22,12,312-555-1217,51212,312-555-2126,52121,Audio Only,Self Service,
CR_Col163,CR ORD 22nd Floor/Flash Media Server (10),Flash Media Server,Chicago,John Hancock,22,10,312-555-1218,51212,312-555-2127,52121,Audio Only,Self Service,
CR_Con164,CR ORD 22nd Floor/Flash Lite (10),Flash Lite,Chicago,John Hancock,22,10,312-555-1219,51212,312-555-2128,52121,Audio Only,Self Service,
